dec 21st 2012 will be know not as the end of the world but the Babi Boom !  neutral 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 
dec 21st 2012 will be know not as the end of the world but the Babi Boom !  negative 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 
Yeah we have Thin Lizzi here I HATE the informerci !  negative 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 
MT ||T|| Deir Ezzor Ali Bashar al-theeb wa martyr He wa a soldier of the Free Syrian Armi Wednesday 3 Octob 2012  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| hate my life becaus i ca n't see you at the roskild festiv on saturday promis me to come back again SOON  negative 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 
| | T | | hate my life becau i ca n't see you at the roskild festiv on saturday promi me to come back again SOON  neutral 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 
excit for fri,not so i can get smash but so i can go to the garden centre,look at the christma display and have a coffe  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Just got the IC updat from Soni on my Sola appar it wa releas on the 17th but updat centr never told me so I onli knew.  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Check out Our Ladi Peac at Bluesfest tonight and spend the day at the beach for HOPE volleybal tomorrow Got thank again love summer weekend !  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 
Check out Our Ladi Peac at Bluesfest tonight and spend the day at the beach for HOPE volleyb tomorrow Got thank again love summer weekend !  neutral 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 
We eat at scienc \ u002c you want to eat ?  neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
Sign of the time for onc power Cosatu ? ||T|| Black shirt see red at Cosatu march ||U||  positive 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
Hello from the Foundat Trekker ! We 're up in chilli Haltwhistl get readi to trek Hadrian 's wall tomorrow e1 ||U||  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
